,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Credit: Credit Billing Cycle Payment Bal,Credit: Credit End of Prev Cycle Bal,Dad: Principal Balance,Dad: Interest,Dad: Loan Billing Cycle Payment Bal,Dad: Loan End of Prev Cycle Bal,Student Loans: Principal Balance,Student Loans: Interest,Student Loans: Loan Billing Cycle Payment Bal,Student Loans: Loan End of Prev Cycle Bal,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Next Income Date,Memo Directives,Memo
0,20241029,3959.17,0.0,14286.0,0.0,14286.0,15900.0,0.0,0.0,15900.0,15000.0,100.0,0.0,15000.0,0.0,0.0,0.0,-41326.83,31000.0,14286.0,3959.17,20241108,,
1,20241030,3959.17,20.0,14286.0,0.0,14286.0,15900.0,0.0,0.0,15900.0,15000.0,102.46,0.0,15000.0,2.46,0.0,22.46,-41349.29,31002.46,14306.0,3959.17,20241108,,food (Credit -$20.00)
2,20241031,3959.17,40.0,14286.0,0.0,14286.0,15900.0,0.0,0.0,15900.0,15000.0,104.92,0.0,15000.0,2.46,0.0,22.46,-41371.75,31004.92,14326.0,3959.17,20241108,,food (Credit -$20.00)
3,20241101,3459.17,160.0,14286.0,0.0,14286.0,15400.0,0.0,0.0,15900.0,15000.0,107.38,0.0,15000.0,2.46,0.0,122.46,-41494.21000000001,30507.38,14446.0,3459.17,20241108,LOAN MIN PAYMENT (Dad: Principal Balance -$500.00); LOAN MIN PAYMENT (Checking -$500.00),storage unit rent (Credit -$100.00); food (Credit -$20.00)
4,20241102,3459.17,270.0,14286.0,0.0,14286.0,15400.0,0.0,0.0,15400.0,15000.0,109.84,0.0,15000.0,2.46,0.0,112.46000000000001,-41606.67,30509.84,14556.0,3459.17,20241108,,parking (Credit -$50.00); ai daddy (Credit -$20.00); food (Credit -$20.00); hulu (Credit -$20.00)
5,20241103,3235.98,290.0,14286.0,0.0,14286.0,15400.0,0.0,0.0,15400.0,14889.11,0.0,0.0,15000.0,2.46,0.0,22.46,-41629.130000000005,30289.11,14576.0,3235.98,20241108,LOAN MIN PAYMENT (Student Loans: Interest -$112.30); LOAN MIN PAYMENT (Student Loans: Principal Balance -$110.89); LOAN MIN PAYMENT (Checking -$223.19),food (Credit -$20.00)
6,20241104,3235.98,310.0,14286.0,0.0,14286.0,15400.0,0.0,0.0,15400.0,14889.11,2.45,0.0,14889.11,2.45,0.0,22.45,-41651.58,30291.56,14596.0,3235.98,20241108,,food (Credit -$20.00)
7,20241105,0.0,410.0,11050.02,3235.98,14286.0,15400.0,0.0,0.0,15400.0,14889.11,4.9,0.0,14889.11,2.45,0.0,102.45,-41754.03,30294.010000000002,11460.02,0.0,20241108,ADDTL CC PAYMENT (Checking -$3235.98); ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$3235.98),gas (Credit -$80.00); food (Credit -$20.00)
8,20241106,0.0,430.0,11050.02,3235.98,14286.0,15400.0,0.0,0.0,15400.0,14889.11,7.35,0.0,14889.11,2.45,0.0,22.45,-41776.479999999996,30296.46,11480.02,0.0,20241108,,food (Credit -$20.00)
9,20241107,0.0,0,11845.15,0,14286.0,15400.0,0.0,0.0,15400.0,14889.11,9.8,0.0,14889.11,347.58,0.0,367.58,-42144.06,30298.91,11845.15,0.0,20241108,CC INTEREST (Credit: Prev Stmt Bal +$345.13); CC MIN PAYMENT ALREADY MADE (Checking -$0.00); CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00),food (Credit -$20.00)
10,20241108,1600.0,20.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,12.25,0.0,14889.11,2.45,1577.55,0.0,-40566.51,30301.36,11865.15,1600.0,20241122,INCOME (Checking +$1600.00),EMT income (Checking +$1600.00); food (Credit -$20.00)
11,20241109,1600.0,40.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,14.7,0.0,14889.11,2.45,0.0,22.45,-40588.96,30303.81,11885.15,1600.0,20241122,,food (Credit -$20.00)
12,20241110,1600.0,60.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,17.15,0.0,14889.11,2.45,0.0,22.45,-40611.41,30306.260000000002,11905.15,1600.0,20241122,,food (Credit -$20.00)
13,20241111,1600.0,80.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,19.6,0.0,14889.11,2.45,0.0,22.45,-40633.86,30308.71,11925.15,1600.0,20241122,,food (Credit -$20.00)
14,20241112,1600.0,100.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,22.05,0.0,14889.11,2.45,0.0,22.45,-40656.31,30311.16,11945.15,1600.0,20241122,,food (Credit -$20.00)
15,20241113,1600.0,120.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,24.5,0.0,14889.11,2.45,0.0,22.45,-40678.76,30313.61,11965.15,1600.0,20241122,,food (Credit -$20.00)
16,20241114,1600.0,140.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,26.95,0.0,14889.11,2.45,0.0,22.45,-40701.21,30316.06,11985.15,1600.0,20241122,,food (Credit -$20.00)
17,20241115,1600.0,160.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,29.4,0.0,14889.11,2.45,0.0,22.45,-40723.66,30318.510000000002,12005.15,1600.0,20241122,,food (Credit -$20.00)
18,20241116,1600.0,180.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,31.85,0.0,14889.11,2.45,0.0,22.45,-40746.11,30320.96,12025.15,1600.0,20241122,,food (Credit -$20.00)
19,20241117,1600.0,200.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,34.3,0.0,14889.11,2.45,0.0,22.45,-40768.56,30323.41,12045.15,1600.0,20241122,,food (Credit -$20.00)
20,20241118,1600.0,470.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,36.75,0.0,14889.11,2.45,0.0,272.45,-41041.01,30325.86,12315.15,1600.0,20241122,,phone (Credit -$250.00); food (Credit -$20.00)
21,20241119,1600.0,570.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,39.2,0.0,14889.11,2.45,0.0,102.45,-41143.46,30328.31,12415.15,1600.0,20241122,,gas (Credit -$80.00); food (Credit -$20.00)
22,20241120,1600.0,685.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,41.65,0.0,14889.11,2.45,0.0,117.45,-41260.91,30330.760000000002,12530.15,1600.0,20241122,,car insurance (Credit -$95.00); food (Credit -$20.00)
23,20241121,1600.0,705.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,44.1,0.0,14889.11,2.45,0.0,22.45,-41283.36,30333.21,12550.15,1600.0,20241122,,food (Credit -$20.00)
24,20241122,3200.0,725.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,46.55,0.0,14889.11,2.45,1577.55,0.0,-39705.81,30335.66,12570.15,3200.0,20241206,INCOME (Checking +$1600.00),EMT income (Checking +$1600.00); food (Credit -$20.00)
25,20241123,3200.0,745.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,49.0,0.0,14889.11,2.45,0.0,22.45,-39728.26,30338.11,12590.15,3200.0,20241206,,food (Credit -$20.00)
26,20241124,3200.0,765.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,51.45,0.0,14889.11,2.45,0.0,22.45,-39750.71,30340.56,12610.15,3200.0,20241206,,food (Credit -$20.00)
27,20241125,3200.0,785.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,53.9,0.0,14889.11,2.45,0.0,22.45,-39773.16,30343.010000000002,12630.15,3200.0,20241206,,food (Credit -$20.00)
28,20241126,3200.0,805.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,56.35,0.0,14889.11,2.45,0.0,22.45,-39795.61,30345.46,12650.15,3200.0,20241206,,food (Credit -$20.00)
29,20241127,3200.0,825.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,58.8,0.0,14889.11,2.45,0.0,22.45,-39818.06,30347.91,12670.15,3200.0,20241206,,food (Credit -$20.00)
30,20241128,3200.0,845.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,61.25,0.0,14889.11,2.45,0.0,22.45,-39840.51,30350.36,12690.15,3200.0,20241206,,food (Credit -$20.00)
31,20241129,3200.0,865.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,63.7,0.0,14889.11,2.45,0.0,22.45,-39862.96,30352.81,12710.15,3200.0,20241206,,food (Credit -$20.00)
32,20241130,3200.0,885.0,11845.15,0.0,11845.15,15400.0,0.0,0.0,15400.0,14889.11,66.15,0.0,14889.11,2.45,0.0,22.45,-39885.41,30355.260000000002,12730.15,3200.0,20241206,,food (Credit -$20.00)
33,20241201,2700.0,1005.0,11845.15,0.0,11845.15,14900.0,0.0,0.0,15400.0,14889.11,68.6,0.0,14889.11,2.45,0.0,122.45,-40007.86,29857.71,12850.15,2700.0,20241206,LOAN MIN PAYMENT (Dad: Principal Balance -$500.00); LOAN MIN PAYMENT (Checking -$500.00),storage unit rent (Credit -$100.00); food (Credit -$20.00)
34,20241202,2700.0,1115.0,11845.15,0.0,11845.15,14900.0,0.0,0.0,14900.0,14889.11,71.05,0.0,14889.11,2.45,0.0,112.45,-40120.31,29860.16,12960.15,2700.0,20241206,,parking (Credit -$50.00); ai daddy (Credit -$20.00); food (Credit -$20.00); hulu (Credit -$20.00)
35,20241203,2476.81,1215.0,11845.15,0.0,11845.15,14900.0,0.0,0.0,14900.0,14739.42,0.0,0.0,14889.11,2.45,0.0,102.45,-40222.76,29639.42,13060.15,2476.81,20241206,LOAN MIN PAYMENT (Student Loans: Interest -$73.50); LOAN MIN PAYMENT (Student Loans: Principal Balance -$149.69); LOAN MIN PAYMENT (Checking -$223.19),gas (Credit -$80.00); food (Credit -$20.00)
36,20241204,2476.81,1235.0,11845.15,0.0,11845.15,14900.0,0.0,0.0,14900.0,14739.42,2.42,0.0,14739.42,2.42,0.0,22.42,-40245.18,29641.839999999997,13080.15,2476.81,20241206,,food (Credit -$20.00)
37,20241205,0.0,1255.0,9368.34,2476.81,11845.15,14900.0,0.0,0.0,14900.0,14739.42,4.84,0.0,14739.42,2.42,0.0,22.42,-40267.6,29644.26,10623.34,0.0,20241206,ADDTL CC PAYMENT (Checking -$2476.81); ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$2476.81),food (Credit -$20.00)
38,20241206,1600.0,1275.0,9368.34,2476.81,11845.15,14900.0,0.0,0.0,14900.0,14739.42,7.26,0.0,14739.42,2.42,1577.58,0.0,-38690.02,29646.679999999997,10643.34,1600.0,20241220,INCOME (Checking +$1600.00),EMT income (Checking +$1600.00); food (Credit -$20.00)
39,20241207,1600.0,0,10949.5,0,11845.15,14900.0,0.0,0.0,14900.0,14739.42,9.68,0.0,14739.42,288.58000000000004,0.0,308.58000000000004,-38998.6,29649.1,10949.5,1600.0,20241220,CC INTEREST (Credit: Prev Stmt Bal +$286.16); CC MIN PAYMENT ALREADY MADE (Checking -$0.00); CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00),food (Credit -$20.00)
40,20241208,1600.0,20.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,12.1,0.0,14739.42,2.42,0.0,22.42,-39021.02,29651.519999999997,10969.5,1600.0,20241220,,food (Credit -$20.00)
41,20241209,1600.0,40.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,14.52,0.0,14739.42,2.42,0.0,22.42,-39043.44,29653.94,10989.5,1600.0,20241220,,food (Credit -$20.00)
42,20241210,1600.0,60.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,16.94,0.0,14739.42,2.42,0.0,22.42,-39065.86,29656.359999999997,11009.5,1600.0,20241220,,food (Credit -$20.00)
43,20241211,1600.0,80.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,19.36,0.0,14739.42,2.42,0.0,22.42,-39088.28,29658.78,11029.5,1600.0,20241220,,food (Credit -$20.00)
44,20241212,1600.0,100.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,21.78,0.0,14739.42,2.42,0.0,22.42,-39110.7,29661.199999999997,11049.5,1600.0,20241220,,food (Credit -$20.00)
45,20241213,1600.0,120.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,24.2,0.0,14739.42,2.42,0.0,22.42,-39133.119999999995,29663.62,11069.5,1600.0,20241220,,food (Credit -$20.00)
46,20241214,1600.0,140.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,26.62,0.0,14739.42,2.42,0.0,22.42,-39155.53999999999,29666.039999999997,11089.5,1600.0,20241220,,food (Credit -$20.00)
47,20241215,1600.0,160.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,29.04,0.0,14739.42,2.42,0.0,22.42,-39177.96,29668.46,11109.5,1600.0,20241220,,food (Credit -$20.00)
48,20241216,1600.0,180.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,31.46,0.0,14739.42,2.42,0.0,22.42,-39200.38,29670.879999999997,11129.5,1600.0,20241220,,food (Credit -$20.00)
49,20241217,1600.0,280.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,33.88,0.0,14739.42,2.42,0.0,102.42,-39302.8,29673.3,11229.5,1600.0,20241220,,gas (Credit -$80.00); food (Credit -$20.00)
50,20241218,1600.0,550.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,36.3,0.0,14739.42,2.42,0.0,272.41999999999996,-39575.22,29675.719999999998,11499.5,1600.0,20241220,,phone (Credit -$250.00); food (Credit -$20.00)
51,20241219,1600.0,570.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,38.72,0.0,14739.42,2.42,0.0,22.42,-39597.64,29678.14,11519.5,1600.0,20241220,,food (Credit -$20.00)
52,20241220,3200.0,685.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,41.14,0.0,14739.42,2.42,1482.58,0.0,-38115.06,29680.559999999998,11634.5,3200.0,20250103,INCOME (Checking +$1600.00),EMT income (Checking +$1600.00); car insurance (Credit -$95.00); food (Credit -$20.00)
53,20241221,3200.0,705.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,43.56,0.0,14739.42,2.42,0.0,22.42,-38137.479999999996,29682.98,11654.5,3200.0,20250103,,food (Credit -$20.00)
54,20241222,3200.0,725.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,45.98,0.0,14739.42,2.42,0.0,22.42,-38159.899999999994,29685.399999999998,11674.5,3200.0,20250103,,food (Credit -$20.00)
55,20241223,3200.0,745.0,10949.5,0.0,10949.5,14900.0,0.0,0.0,14900.0,14739.42,48.4,0.0,14739.42,2.42,0.0,22.42,-38182.32,29687.82,11694.5,3200.0,20250103,,food (Credit -$20.00)
