,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Credit: Credit Billing Cycle Payment Bal,Credit: Credit End of Prev Cycle Bal,Dad Loan: Principal Balance,Dad Loan: Interest,Dad Loan: Loan Billing Cycle Payment Bal,Dad Loan: Loan End of Prev Cycle Bal,Student Loans: Principal Balance,Student Loans: Interest,Student Loans: Loan Billing Cycle Payment Bal,Student Loans: Loan End of Prev Cycle Bal,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Next Income Date,Memo Directives,Memo
0,20241031,3959.17,0.0,14286.0,0.0,14286.0,15900.0,0.0,0.0,15900.0,15000.0,100.0,0.0,15000.0,0.0,0.0,0.0,-41326.83,31000.0,14286.0,3959.17,20241108,,
1,20241101,3459.17,120.0,14286.0,0.0,14286.0,15400.0,0.0,0.0,15900.0,15000.0,102.46406570841889,0.0,15000.0,2.464065708418886,0.0,122.46406570841889,-41449.294065708425,30502.46406570842,14406.0,3459.17,20241108,LOAN MIN PAYMENT (Dad Loan: Principal Balance -$500.00); LOAN MIN PAYMENT (Checking -$500.00),storage unit rent (Credit +$100.00); food (Credit +$20.00)
2,20241102,3459.17,230.0,14286.0,0.0,14286.0,15400.0,0.0,0.0,15400.0,15000.0,104.92813141683777,0.0,15000.0,2.464065708418886,0.0,112.46406570841889,-41561.758131416835,30504.928131416837,14516.0,3459.17,20241108,,parking (Credit +$50.00); ai daddy (Credit +$20.00); food (Credit +$20.00); hulu (Credit +$20.00)
3,20241103,3235.98,250.0,14286.0,0.0,14286.0,15400.0,0.0,0.0,15400.0,14884.202197125256,0.0,0.0,15000.0,2.4618685831622287,0.0,22.46186858316223,-41584.22219712526,30284.202197125254,14536.0,3235.98,20241108,LOAN MIN PAYMENT (Student Loans: Interest -$107.39); LOAN MIN PAYMENT (Student Loans: Principal Balance -$115.80); LOAN MIN PAYMENT (Checking -$223.19),food (Credit +$20.00)
4,20241104,3235.98,270.0,14286.0,0.0,14286.0,15400.0,0.0,0.0,15400.0,14884.202197125256,2.445043482073964,0.0,14884.202197125256,2.445043482073964,0.0,22.445043482073963,-41606.667240607334,30286.64724060733,14556.0,3235.98,20241108,,food (Credit +$20.00)
5,20241105,0.0,370.0,11050.02,3235.98,14286.0,15400.0,0.0,0.0,15400.0,14884.202197125256,4.890086964147928,0.0,14884.202197125256,2.445043482073964,0.0,102.44504348207397,-41709.1122840894,30289.0922840894,11420.02,0.0,20241108,ADDTL CC PAYMENT (Checking -$3235.98); ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$3235.98),gas (Credit +$80.00); food (Credit +$20.00)
6,20241106,4.547473508864641e-13,390.0,11050.02,3235.98,14286.0,15400.0,0.0,0.0,15400.0,14884.202197125256,7.335130446221892,0.0,14884.202197125256,2.445043482073964,0.0,22.445043482073963,-41731.55732757148,30291.537327571477,11440.02,4.547473508864641e-13,20241108,,food (Credit +$20.00)
7,20241107,9.094947017729282e-13,0,11805.14595,3235.98,14286.0,15400.0,0.0,0.0,15400.0,14884.202197125256,9.780173928295856,0.0,14884.202197125256,347.57504348207397,0.0,367.57504348207397,-42099.12832105355,30293.98237105355,11805.14595,9.094947017729282e-13,20241108,CC INTEREST (Credit: Prev Stmt Bal +$345.13); CC MIN PAYMENT ALREADY MADE (Checking -$0.00); CC MIN PAYMENT ALREADY MADE (Credit: Prev Stmt Bal -$0.00),food (Credit +$20.00)
8,20241108,1600.000000000001,20.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,12.225217410369819,0.0,14884.202197125256,2.445043482073963,1577.554956517926,0.0,-40521.57336453562,30296.427414535625,11825.14595,1600.000000000001,20241122,INCOME (Checking +$1600.00),EMT income (Checking +$1600.00); food (Credit +$20.00)
9,20241109,1600.000000000001,40.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,14.670260892443782,0.0,14884.202197125256,2.445043482073963,0.0,22.445043482073963,-40544.0184080177,30298.872458017697,11845.14595,1600.000000000001,20241122,,food (Credit +$20.00)
10,20241110,1600.000000000001,60.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,17.115304374517745,0.0,14884.202197125256,2.445043482073963,0.0,22.445043482073963,-40566.463451499774,30301.317501499772,11865.14595,1600.000000000001,20241122,,food (Credit +$20.00)
11,20241111,1600.000000000001,80.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,19.560347856591708,0.0,14884.202197125256,2.445043482073963,0.0,22.445043482073963,-40588.90849498184,30303.762544981844,11885.14595,1600.000000000001,20241122,,food (Credit +$20.00)
12,20241112,1600.000000000001,100.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,22.00539133866567,0.0,14884.202197125256,2.445043482073963,0.0,22.445043482073963,-40611.35353846392,30306.20758846392,11905.14595,1600.000000000001,20241122,,food (Credit +$20.00)
13,20241113,1600.000000000001,120.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,24.450434820739634,0.0,14884.202197125256,2.445043482073963,0.0,22.445043482073963,-40633.798581945994,30308.652631945995,11925.14595,1600.000000000001,20241122,,food (Credit +$20.00)
14,20241114,1600.000000000001,140.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,26.895478302813597,0.0,14884.202197125256,2.445043482073963,0.0,22.445043482073963,-40656.24362542807,30311.097675428067,11945.14595,1600.000000000001,20241122,,food (Credit +$20.00)
15,20241115,1600.000000000001,160.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,29.34052178488756,0.0,14884.202197125256,2.445043482073963,0.0,22.445043482073963,-40678.688668910145,30313.542718910143,11965.14595,1600.000000000001,20241122,,food (Credit +$20.00)
16,20241116,1600.000000000001,180.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,31.785565266961523,0.0,14884.202197125256,2.445043482073963,0.0,22.445043482073963,-40701.13371239221,30315.987762392215,11985.14595,1600.000000000001,20241122,,food (Credit +$20.00)
17,20241117,1600.000000000001,200.0,11805.14595,0.0,11805.14595,15400.0,0.0,0.0,15400.0,14884.202197125256,34.23060874903549,0.0,14884.202197125256,2.4450434820739666,0.0,22.445043482073967,-40723.57875587429,30318.43280587429,12005.14595,1600.000000000001,20241122,,food (Credit +$20.00)
