,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Dad: Principal Balance,Dad: Interest,Student Loans: Principal Balance,Student Loans: Interest,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Memo Directives,Memo
0,20241020,4100.0,0.0,609.79,15900.0,0.0,15000.0,100.0,0.0,0.0,0.0,-27509.79,31000.0,609.79,4100.0,,
1,20241021,4100.0,20.0,609.79,15900.0,0.0,15000.0,102.46,2.46,0.0,22.46,-27532.25,31002.46,629.79,4100.0,,food (Credit -$20.00)
2,20241022,4100.0,120.0,609.79,15900.0,0.0,15000.0,104.92,2.46,0.0,102.46,-27634.71,31004.92,729.79,4100.0,,gas (Credit -$80.00); food (Credit -$20.00)
3,20241023,4100.0,140.0,609.79,15900.0,0.0,15000.0,107.38,2.46,0.0,22.46,-27657.170000000002,31007.38,749.79,4100.0,,food (Credit -$20.00)
4,20241024,4100.0,160.0,609.79,15900.0,0.0,15000.0,109.84,2.46,0.0,22.46,-27679.63,31009.84,769.79,4100.0,,food (Credit -$20.00)
5,20241025,5700.0,180.0,609.79,15900.0,0.0,15000.0,112.3,2.46,1577.54,0.0,-26102.09,31012.3,789.79,5700.0,,EMT income (Checking +$1600.00); food (Credit -$20.00)
6,20241026,5700.0,200.0,609.79,15900.0,0.0,15000.0,114.76,2.46,0.0,22.46,-26124.55,31014.76,809.79,5700.0,,food (Credit -$20.00)
7,20241027,5700.0,220.0,609.79,15900.0,0.0,15000.0,117.22,2.46,0.0,22.46,-26147.010000000002,31017.22,829.79,5700.0,,food (Credit -$20.00)
8,20241028,5700.0,240.0,609.79,15900.0,0.0,15000.0,119.68,2.46,0.0,22.46,-26169.47,31019.68,849.79,5700.0,,food (Credit -$20.00)
9,20241029,5700.0,260.0,609.79,15900.0,0.0,15000.0,122.14,2.46,0.0,22.46,-26191.93,31022.14,869.79,5700.0,,food (Credit -$20.00)
10,20241030,5700.0,280.0,609.79,15900.0,0.0,15000.0,124.6,2.46,0.0,22.46,-26214.39,31024.6,889.79,5700.0,,food (Credit -$20.00)
11,20241031,5700.0,300.0,609.79,15900.0,0.0,15000.0,127.06,2.46,0.0,22.46,-26236.850000000002,31027.06,909.79,5700.0,,food (Credit -$20.00)
12,20241101,5200.0,420.0,609.79,15400.0,0.0,15000.0,129.52,2.46,0.0,122.46,-26359.31,30529.52,1029.79,5200.0, LOAN MIN PAYMENT (Dad: Principal Balance -$500.00);  LOAN MIN PAYMENT (Checking -$500.00); ,storage unit rent (Credit -$100.00); food (Credit -$20.00)
13,20241102,5200.0,530.0,609.79,15400.0,0.0,15000.0,131.98,2.46,0.0,112.46000000000001,-26471.77,30531.98,1139.79,5200.0,,parking (Credit -$50.00); food (Credit -$20.00); hulu (Credit -$20.00); ai daddy (Credit -$20.00)
14,20241103,4976.81,550.0,609.79,15400.0,0.0,14911.25,0.0,2.46,0.0,22.46,-26494.23,30311.25,1159.79,4976.81, LOAN MIN PAYMENT (Student Loans: Interest -$134.44);  LOAN MIN PAYMENT (Student Loans: Principal Balance -$88.75);  LOAN MIN PAYMENT (Checking -$223.19); ,food (Credit -$20.00)
15,20241104,4976.81,570.0,609.79,15400.0,0.0,14911.25,2.45,2.45,0.0,22.45,-26516.68,30313.7,1179.79,4976.81,,food (Credit -$20.00)
16,20241105,4976.81,670.0,609.79,15400.0,0.0,14911.25,4.9,2.45,0.0,102.45,-26619.13,30316.15,1279.79,4976.81,,gas (Credit -$80.00); food (Credit -$20.00)
17,20241106,4976.81,690.0,609.79,15400.0,0.0,14911.25,7.35,2.45,0.0,22.45,-26641.579999999998,30318.6,1299.79,4976.81,,food (Credit -$20.00)
18,20241107,4936.81,0,1294.52,15400.0,0.0,14911.25,9.8,17.18,0.0,37.18,-26678.76,30321.05,1294.52,4936.81,CC INTEREST (Credit: Prev Stmt Bal +$14.73); CC MIN PAYMENT (Credit: Prev Stmt Bal -$40.00); CC MIN PAYMENT (Checking -$40.00),food (Credit -$20.00)
19,20241108,6536.81,20.0,1294.52,15400.0,0.0,14911.25,12.25,2.45,1577.55,0.0,-25101.21,30323.5,1314.52,6536.81,,EMT income (Checking +$1600.00); food (Credit -$20.00)
20,20241109,6536.81,40.0,1294.52,15400.0,0.0,14911.25,14.7,2.45,0.0,22.45,-25123.66,30325.95,1334.52,6536.81,,food (Credit -$20.00)
21,20241110,6536.81,60.0,1294.52,15400.0,0.0,14911.25,17.15,2.45,0.0,22.45,-25146.11,30328.4,1354.52,6536.81,,food (Credit -$20.00)
22,20241111,6536.81,80.0,1294.52,15400.0,0.0,14911.25,19.6,2.45,0.0,22.45,-25168.559999999998,30330.85,1374.52,6536.81,,food (Credit -$20.00)
23,20241112,6536.81,100.0,1294.52,15400.0,0.0,14911.25,22.05,2.45,0.0,22.45,-25191.01,30333.3,1394.52,6536.81,,food (Credit -$20.00)
24,20241113,6536.81,120.0,1294.52,15400.0,0.0,14911.25,24.5,2.45,0.0,22.45,-25213.46,30335.75,1414.52,6536.81,,food (Credit -$20.00)
25,20241114,6536.81,140.0,1294.52,15400.0,0.0,14911.25,26.95,2.45,0.0,22.45,-25235.91,30338.2,1434.52,6536.81,,food (Credit -$20.00)
26,20241115,6536.81,160.0,1294.52,15400.0,0.0,14911.25,29.4,2.45,0.0,22.45,-25258.36,30340.65,1454.52,6536.81,,food (Credit -$20.00)
