,Date,Checking,Memo
0,2023-10-11 00:00:00,2000.0,
1,2023-10-12 00:00:00,1980.0,food ($20.0) ; 
2,2023-10-13 00:00:00,1960.0,food ($20.0) ; 
3,2023-10-14 00:00:00,1940.0,food ($20.0) ; 
4,2023-10-15 00:00:00,1920.0,food ($20.0) ; 
5,2023-10-16 00:00:00,1900.0,food ($20.0) ; 
6,2023-10-17 00:00:00,1880.0,food ($20.0) ; 
7,2023-10-18 00:00:00,1860.0,food ($20.0) ; 
8,2023-10-19 00:00:00,1840.0,food ($20.0) ; 
9,2023-10-20 00:00:00,1820.0,food ($20.0) ; 
10,2023-10-21 00:00:00,1800.0,food ($20.0) ; 
11,2023-10-22 00:00:00,1780.0,food ($20.0) ; 
12,2023-10-23 00:00:00,1760.0,food ($20.0) ; 
13,2023-10-24 00:00:00,1740.0,food ($20.0) ; 
14,2023-10-25 00:00:00,1720.0,food ($20.0) ; 
15,2023-10-26 00:00:00,1700.0,food ($20.0) ; 
16,2023-10-27 00:00:00,1680.0,food ($20.0) ; 
17,2023-10-28 00:00:00,1660.0,food ($20.0) ; 
18,2023-10-29 00:00:00,1640.0,food ($20.0) ; 
19,2023-10-30 00:00:00,1620.0,food ($20.0) ; 
20,2023-10-31 00:00:00,1600.0,food ($20.0) ; 
21,2023-11-01 00:00:00,1580.0,food ($20.0) ; 
22,2023-11-02 00:00:00,1560.0,food ($20.0) ; 
23,2023-11-03 00:00:00,1540.0,food ($20.0) ; 
24,2023-11-04 00:00:00,1520.0,food ($20.0) ; 
25,2023-11-05 00:00:00,1500.0,food ($20.0) ; 
26,2023-11-06 00:00:00,1480.0,food ($20.0) ; 
27,2023-11-07 00:00:00,1460.0,food ($20.0) ; 
28,2023-11-08 00:00:00,1440.0,food ($20.0) ; 
29,2023-11-09 00:00:00,1420.0,food ($20.0) ; 
30,2023-11-10 00:00:00,1400.0,food ($20.0) ; 
31,2023-11-11 00:00:00,1380.0,food ($20.0) ; 
32,2023-11-12 00:00:00,1360.0,food ($20.0) ; 
33,2023-11-13 00:00:00,1340.0,food ($20.0) ; 
34,2023-11-14 00:00:00,1320.0,food ($20.0) ; 
35,2023-11-15 00:00:00,1300.0,food ($20.0) ; 
36,2023-11-16 00:00:00,1280.0,food ($20.0) ; 
37,2023-11-17 00:00:00,1260.0,food ($20.0) ; 
38,2023-11-18 00:00:00,1240.0,food ($20.0) ; 
39,2023-11-19 00:00:00,1220.0,food ($20.0) ; 
40,2023-11-20 00:00:00,1200.0,food ($20.0) ; 
41,2023-11-21 00:00:00,1180.0,food ($20.0) ; 
42,2023-11-22 00:00:00,1160.0,food ($20.0) ; 
43,2023-11-23 00:00:00,1140.0,food ($20.0) ; 
44,2023-11-24 00:00:00,1120.0,food ($20.0) ; 
45,2023-11-25 00:00:00,1100.0,food ($20.0) ; 
46,2023-11-26 00:00:00,1080.0,food ($20.0) ; 
47,2023-11-27 00:00:00,1060.0,food ($20.0) ; 
48,2023-11-28 00:00:00,1040.0,food ($20.0) ; 
49,2023-11-29 00:00:00,1020.0,food ($20.0) ; 
50,2023-11-30 00:00:00,1000.0,food ($20.0) ; 
51,2023-12-01 00:00:00,980.0,food ($20.0) ; 
52,2023-12-02 00:00:00,960.0,food ($20.0) ; 
53,2023-12-03 00:00:00,940.0,food ($20.0) ; 
54,2023-12-04 00:00:00,920.0,food ($20.0) ; 
55,2023-12-05 00:00:00,900.0,food ($20.0) ; 
56,2023-12-06 00:00:00,880.0,food ($20.0) ; 
57,2023-12-07 00:00:00,860.0,food ($20.0) ; 
58,2023-12-08 00:00:00,840.0,food ($20.0) ; 
59,2023-12-09 00:00:00,820.0,food ($20.0) ; 
60,2023-12-10 00:00:00,800.0,food ($20.0) ; 
61,2023-12-11 00:00:00,780.0,food ($20.0) ; 
62,2023-12-12 00:00:00,760.0,food ($20.0) ; 
63,2023-12-13 00:00:00,740.0,food ($20.0) ; 
64,2023-12-14 00:00:00,720.0,food ($20.0) ; 
65,2023-12-15 00:00:00,700.0,food ($20.0) ; 
66,2023-12-16 00:00:00,680.0,food ($20.0) ; 
67,2023-12-17 00:00:00,660.0,food ($20.0) ; 
68,2023-12-18 00:00:00,640.0,food ($20.0) ; 
69,2023-12-19 00:00:00,620.0,food ($20.0) ; 
70,2023-12-20 00:00:00,600.0,food ($20.0) ; 
71,2023-12-21 00:00:00,580.0,food ($20.0) ; 
72,2023-12-22 00:00:00,560.0,food ($20.0) ; 
73,2023-12-23 00:00:00,540.0,food ($20.0) ; 
74,2023-12-24 00:00:00,520.0,food ($20.0) ; 
75,2023-12-25 00:00:00,500.0,food ($20.0) ; 
76,2023-12-26 00:00:00,480.0,food ($20.0) ; 
77,2023-12-27 00:00:00,460.0,food ($20.0) ; 
78,2023-12-28 00:00:00,440.0,food ($20.0) ; 
79,2023-12-29 00:00:00,420.0,food ($20.0) ; 
80,2023-12-30 00:00:00,400.0,food ($20.0) ; 
81,2023-12-31 00:00:00,380.0,food ($20.0) ; 
82,2024-01-01 00:00:00,360.0,food ($20.0) ; 
