,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Loan A: Principal Balance,Loan A: Interest,Loan B: Principal Balance,Loan B: Interest,Loan C: Principal Balance,Loan C: Interest,Loan D: Principal Balance,Loan D: Interest,Loan E: Principal Balance,Loan E: Interest,Tax Debt: Principal Balance,Tax Debt: Interest,Memo
0,2023-04-02 00:00:00,4224.62,430.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,
1,2023-04-03 00:00:00,3982.0299999999997,0.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; Credit cc min payment ($242.58960000000002) ; 
2,2023-04-04 00:00:00,3982.0299999999997,30.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
3,2023-04-05 00:00:00,3982.0299999999997,60.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
4,2023-04-06 00:00:00,3982.0299999999997,90.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
5,2023-04-07 00:00:00,3982.0299999999997,163.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,gym ($33.0) ; food ($30.0) ; spotify ($10.0) ; 
6,2023-04-08 00:00:00,3982.0299999999997,193.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
7,2023-04-09 00:00:00,4432.03,223.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
8,2023-04-10 00:00:00,4432.03,253.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
9,2023-04-11 00:00:00,4432.03,283.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
10,2023-04-12 00:00:00,4432.03,313.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
11,2023-04-13 00:00:00,4432.03,343.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
12,2023-04-14 00:00:00,4432.03,373.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
13,2023-04-15 00:00:00,4432.03,403.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
14,2023-04-16 00:00:00,4882.03,433.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ($450.0) ; food ($30.0) ; 
15,2023-04-17 00:00:00,4882.03,552.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,car insurance ($89.0) ; food ($30.0) ; 
16,2023-04-18 00:00:00,4882.03,582.0,7736.17,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
