,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Loan A: Principal Balance,Loan A: Interest,Loan B: Principal Balance,Loan B: Interest,Loan C: Principal Balance,Loan C: Interest,Loan D: Principal Balance,Loan D: Interest,Loan E: Principal Balance,Loan E: Interest,Tax Debt: Principal Balance,Tax Debt: Interest,Memo
0,2023-04-07 00:00:00,4224.62,430.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,
1,2023-04-08 00:00:00,4224.62,460.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2,2023-04-09 00:00:00,4674.62,490.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ends july 1 ($450.0) ; food ($30.0) ; 
3,2023-04-10 00:00:00,4674.62,520.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
4,2023-04-11 00:00:00,4674.62,550.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
5,2023-04-12 00:00:00,4674.62,580.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
6,2023-04-13 00:00:00,4674.62,610.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
7,2023-04-14 00:00:00,4674.62,640.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
8,2023-04-15 00:00:00,4674.62,670.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
9,2023-04-16 00:00:00,5124.62,700.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ends july 1 ($450.0) ; food ($30.0) ; 
10,2023-04-17 00:00:00,5124.62,730.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
11,2023-04-18 00:00:00,5124.62,760.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
12,2023-04-19 00:00:00,5124.62,790.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
13,2023-04-20 00:00:00,5124.62,820.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
14,2023-04-21 00:00:00,5124.62,850.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
15,2023-04-22 00:00:00,5124.62,880.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
16,2023-04-23 00:00:00,5574.62,910.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,unemployment income ends july 1 ($450.0) ; food ($30.0) ; 
17,2023-04-24 00:00:00,5574.62,940.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
18,2023-04-25 00:00:00,5574.62,970.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
19,2023-04-26 00:00:00,5574.62,1000.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
20,2023-04-27 00:00:00,5574.62,1030.27,7351.2,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
