,Date,Hume Checking,Hume Credit: Curr Stmt Bal,Hume Credit: Prev Stmt Bal,Hume Credit: Credit Billing Cycle Payment Bal,Hume Credit: Credit End of Prev Cycle Bal,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Next Income Date,Memo Directives,Memo
0,2025-07-01,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
1,2025-07-02,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
2,2025-07-03,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
3,2025-07-04,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
4,2025-07-05,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
5,2025-07-06,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
6,2025-07-07,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
7,2025-07-08,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
8,2025-07-09,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
9,2025-07-10,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
10,2025-07-11,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
11,2025-07-12,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
12,2025-07-13,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
13,2025-07-14,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
14,2025-07-15,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
15,2025-07-16,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
16,2025-07-17,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
17,2025-07-18,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
18,2025-07-19,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
19,2025-07-20,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
20,2025-07-21,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
21,2025-07-22,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
22,2025-07-23,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
23,2025-07-24,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
24,2025-07-25,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
25,2025-07-26,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
26,2025-07-27,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
27,2025-07-28,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
28,2025-07-29,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
29,2025-07-30,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
30,2025-07-31,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
31,2025-08-01,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
32,2025-08-02,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
33,2025-08-03,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
34,2025-08-04,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
35,2025-08-05,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
36,2025-08-06,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
37,2025-08-07,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
38,2025-08-08,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
39,2025-08-09,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
40,2025-08-10,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
41,2025-08-11,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
42,2025-08-12,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
43,2025-08-13,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
44,2025-08-14,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
45,2025-08-15,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
46,2025-08-16,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
47,2025-08-17,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
48,2025-08-18,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
49,2025-08-19,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
50,2025-08-20,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
51,2025-08-21,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
52,2025-08-22,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
53,2025-08-23,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
54,2025-08-24,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
55,2025-08-25,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
56,2025-08-26,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
57,2025-08-27,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
58,2025-08-28,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
59,2025-08-29,1500.0,10000.0,10000.0,0.0,10000.0,0,0,0,-18500.0,0.0,20000.0,1500.0,,,
