,Date,Checking,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Next Income Date,Memo Directives,Memo
0,20250701,1500,0,0,0,1500,0,0,1500,,,
1,20250702,1500,0,0,0,1500,0,0,1500,,,
2,20250703,1500,0,0,0,1500,0,0,1500,,,
3,20250704,1500,0,0,0,1500,0,0,1500,,,
4,20250705,1500,0,0,0,1500,0,0,1500,,,
5,20250706,1500,0,0,0,1500,0,0,1500,,,
6,20250707,1500,0,0,0,1500,0,0,1500,,,
7,20250708,1500,0,0,0,1500,0,0,1500,,,
8,20250709,1500,0,0,0,1500,0,0,1500,,,
9,20250710,1500,0,0,0,1500,0,0,1500,,,
10,20250711,1500,0,0,0,1500,0,0,1500,,,
11,20250712,1500,0,0,0,1500,0,0,1500,,,
12,20250713,1500,0,0,0,1500,0,0,1500,,,
13,20250714,1500,0,0,0,1500,0,0,1500,,,
14,20250715,1500,0,0,0,1500,0,0,1500,,,
15,20250716,1500,0,0,0,1500,0,0,1500,,,
16,20250717,1500,0,0,0,1500,0,0,1500,,,
17,20250718,1500,0,0,0,1500,0,0,1500,,,
18,20250719,1500,0,0,0,1500,0,0,1500,,,
19,20250720,1500,0,0,0,1500,0,0,1500,,,
20,20250721,1500,0,0,0,1500,0,0,1500,,,
21,20250722,1500,0,0,0,1500,0,0,1500,,,
22,20250723,1500,0,0,0,1500,0,0,1500,,,
23,20250724,1500,0,0,0,1500,0,0,1500,,,
24,20250725,1500,0,0,0,1500,0,0,1500,,,
25,20250726,1500,0,0,0,1500,0,0,1500,,,
26,20250727,1500,0,0,0,1500,0,0,1500,,,
27,20250728,1500,0,0,0,1500,0,0,1500,,,
28,20250729,1500,0,0,0,1500,0,0,1500,,,
29,20250730,1500,0,0,0,1500,0,0,1500,,,
30,20250731,1500,0,0,0,1500,0,0,1500,,,
31,20250801,1500,0,0,0,1500,0,0,1500,,,
