Date,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Loan A: Principal Balance,Loan A: Interest,Loan B: Principal Balance,Loan B: Interest,Loan C: Principal Balance,Loan C: Interest,Loan D: Principal Balance,Loan D: Interest,Loan E: Principal Balance,Loan E: Interest,Tax Debt: Principal Balance,Tax Debt: Interest,Memo
2023-07-25,2023-07-25 00:00:00,2670.85,990.5,15503.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,
2023-07-26,2023-07-26 00:00:00,2670.85,1020.5,15503.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-27,2023-07-27 00:00:00,2670.85,1150.5,15503.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,internet ($100.0) ; food ($30.0) ; 
2023-07-28,2023-07-28 00:00:00,2670.85,1180.5,15503.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-29,2023-07-29 00:00:00,2670.85,1210.5,15503.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-07-30,2023-07-30 00:00:00,3990.85,1240.5,15503.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,EMT income (work for 6 months) ($1320.0) ; food ($30.0) ; 
2023-07-31,2023-07-31 00:00:00,3990.85,1433.59,15503.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,phone bill ($163.09) ; food ($30.0) ; 
2023-08-01,2023-08-01 00:00:00,2090.85,1563.59,14403.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,additional cc payment (while staying in santa cruz) ($1100.0) ; additional cc payment (while staying in santa cruz) ($1100.0) ; rent (santa cruz 8 months) ($800.0) ; gas and bus ($100.0) ; food ($30.0) ; 
2023-08-02,2023-08-02 00:00:00,2090.85,1593.59,14403.94,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-03,2023-08-03 00:00:00,1615.52,0.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; Credit cc min payment ($475.33002000000005) ; 
2023-08-04,2023-08-04 00:00:00,1615.52,30.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-05,2023-08-05 00:00:00,1615.52,60.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-06,2023-08-06 00:00:00,1615.52,90.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-07,2023-08-07 00:00:00,1615.52,163.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,gym ($33.0) ; food ($30.0) ; spotify ($10.0) ; 
2023-08-08,2023-08-08 00:00:00,1615.52,193.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-09,2023-08-09 00:00:00,1615.52,223.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-10,2023-08-10 00:00:00,1615.52,253.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-11,2023-08-11 00:00:00,1615.52,283.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-12,2023-08-12 00:00:00,1615.52,313.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
2023-08-13,2023-08-13 00:00:00,2935.52,343.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,EMT income (work for 6 months) ($1320.0) ; food ($30.0) ; 
2023-08-14,2023-08-14 00:00:00,2935.52,373.0,15879.99,4746.18,0.0,1919.55,0.0,4726.68,0.0,1823.31,0.0,3359.17,0.0,8000.0,0.0,food ($30.0) ; 
