,Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Memo Directives,Memo
0,20240608,86.0,0.0,7160.97,0.0,0.0,0.0,-7074.97,0.0,7160.97,86.0,,
1,20240609,86.0,25.0,7160.97,0.0,0.0,25.0,-7099.97,0.0,7185.97,86.0,,food (Credit -$25.0); 
2,20240610,86.0,50.0,7160.97,0.0,0.0,25.0,-7124.97,0.0,7210.97,86.0,,food (Credit -$25.0); 
3,20240611,86.0,75.0,7160.97,0.0,0.0,25.0,-7149.97,0.0,7235.97,86.0,,food (Credit -$25.0); 
4,20240612,86.0,100.0,7160.97,0.0,0.0,25.0,-7174.97,0.0,7260.97,86.0,,food (Credit -$25.0); 
5,20240613,86.0,125.0,7160.97,0.0,0.0,25.0,-7199.97,0.0,7285.97,86.0,,food (Credit -$25.0); 
6,20240614,1086.0,150.0,7160.97,0.0,975.0,0.0,-6224.97,0.0,7310.97,1086.0,,EMT income (Checking +$1600.0); repay mom 1 (Checking -$600.0); food (Credit -$25.0); 
7,20240615,1086.0,175.0,7160.97,0.0,0.0,25.0,-6249.97,0.0,7335.97,1086.0,,food (Credit -$25.0); 
8,20240616,1086.0,200.0,7160.97,0.0,0.0,25.0,-6274.97,0.0,7360.97,1086.0,,food (Credit -$25.0); 
9,20240617,1086.0,225.0,7160.97,0.0,0.0,25.0,-6299.97,0.0,7385.97,1086.0,,food (Credit -$25.0); 
10,20240618,1086.0,250.0,7160.97,0.0,0.0,25.0,-6324.97,0.0,7410.97,1086.0,,food (Credit -$25.0); 
11,20240619,1086.0,275.0,7160.97,0.0,0.0,25.0,-6349.97,0.0,7435.97,1086.0,,food (Credit -$25.0); 
12,20240620,991.0,300.0,7160.97,0.0,0.0,120.0,-6469.97,0.0,7460.97,991.0,,car insurance (Checking -$95.0); food (Credit -$25.0); 
13,20240621,991.0,325.0,7160.97,0.0,0.0,25.0,-6494.97,0.0,7485.97,991.0,,food (Credit -$25.0); 
14,20240622,991.0,430.0,7160.97,0.0,0.0,105.0,-6599.97,0.0,7590.97,991.0,,gas (Credit -$80.0); food (Credit -$25.0); 
15,20240623,991.0,455.0,7160.97,0.0,0.0,25.0,-6624.97,0.0,7615.97,991.0,,food (Credit -$25.0); 
16,20240624,991.0,480.0,7160.97,0.0,0.0,25.0,-6649.97,0.0,7640.97,991.0,,food (Credit -$25.0); 
17,20240625,991.0,505.0,7160.97,0.0,0.0,25.0,-6674.97,0.0,7665.97,991.0,,food (Credit -$25.0); 
18,20240626,991.0,530.0,7160.97,0.0,0.0,25.0,-6699.97,0.0,7690.97,991.0,,food (Credit -$25.0); 
19,20240627,991.0,555.0,7160.97,0.0,0.0,25.0,-6724.97,0.0,7715.97,991.0,,food (Credit -$25.0); 
20,20240628,1991.0,580.0,7160.97,0.0,975.0,0.0,-5749.97,0.0,7740.97,1991.0,,EMT income (Checking +$1600.0); repay mom 2 (Checking -$600.0); food (Credit -$25.0); 
21,20240629,1991.0,605.0,7160.97,0.0,0.0,25.0,-5774.97,0.0,7765.97,1991.0,,food (Credit -$25.0); 
22,20240630,1991.0,630.0,7160.97,0.0,0.0,25.0,-5799.97,0.0,7790.97,1991.0,,food (Credit -$25.0); 
23,20240701,1493.0,655.0,6693.97,0.0,0.0,56.0,-5855.97,0.0,7348.97,1493.0, ADDTL CC PAYMENT (Checking -$467.0);  ADDTL CC PAYMENT (Credit: Prev Stmt Bal -$467.0); ,storage unit rent (Checking -$31.0); food (Credit -$25.0); 
24,20240702,1493.0,680.0,6693.97,0.0,0.0,25.0,-5880.97,0.0,7373.97,1493.0,,food (Credit -$25.0); 
25,20240703,1493.0,705.0,6693.97,0.0,0.0,25.0,-5905.97,0.0,7398.97,1493.0,,food (Credit -$25.0); 
26,20240704,1493.0,730.0,6693.97,0.0,0.0,25.0,-5930.97,0.0,7423.97,1493.0,,food (Credit -$25.0); 
27,20240705,1493.0,755.0,6693.97,0.0,0.0,25.0,-5955.97,0.0,7448.97,1493.0,,food (Credit -$25.0); 
28,20240706,1493.0,860.0,6693.97,0.0,0.0,105.0,-6060.97,0.0,7553.97,1493.0,,gas (Credit -$80.0); food (Credit -$25.0); 
