Date,Checking,Credit: Curr Stmt Bal,Credit: Prev Stmt Bal,test loan: Principal Balance,test loan: Interest,Marginal Interest,Net Gain,Net Loss,Net Worth,Loan Total,CC Debt Total,Liquid Total,Memo
20240229,1339.1,0.0,22787.55,16084.58,0.0,0.0,0,0.0,-37533.03,16084.58,22787.55,1339.1,
20240301,1240.1,0.0,22787.55,16084.58,0.0,0.0,0,99.0,-37632.03,16084.58,22787.55,1240.1,car insurance (Checking -$89.0); food (Checking -$10.0); 
20240302,1150.1,0.0,22787.55,16084.58,0.0,0.0,0,90.0,-37722.03,16084.58,22787.55,1150.1,gas (Checking -$80.0); food (Checking -$10.0); 
20240303,1140.1,0.0,22787.55,16084.58,0.0,0.0,0,10.0,-37732.03,16084.58,22787.55,1140.1,food (Checking -$10.0); 
20240304,1130.1,0.0,22787.55,16084.58,0.0,0.0,0,10.0,-37742.03,16084.58,22787.55,1130.1,food (Checking -$10.0); 
20240305,1120.1,0.0,22787.55,16084.58,0.0,0.0,0,10.0,-37752.03,16084.58,22787.55,1120.1,food (Checking -$10.0); 
20240306,1110.1,0.0,22787.55,16084.58,0.0,0.0,0,10.0,-37762.03,16084.58,22787.55,1110.1,food (Checking -$10.0); 
20240307,416.4699999999999,0,22559.67,16084.58,0.0,455.75,0,465.75,-38227.78,16084.58,22559.67,416.4699999999999,food (Checking -$10.0);  cc interest (Checking -$455.75); cc min payment (Credit: Prev Stmt Bal -$227.88);
20240308,406.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38237.78,16084.58,22559.67,406.47,food (Checking -$10.0); 
20240309,396.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38247.78,16084.58,22559.67,396.47,food (Checking -$10.0); 
20240310,386.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38257.78,16084.58,22559.67,386.47,food (Checking -$10.0); 
20240311,376.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38267.78,16084.58,22559.67,376.47,food (Checking -$10.0); 
20240312,366.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38277.78,16084.58,22559.67,366.47,food (Checking -$10.0); 
20240313,356.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38287.78,16084.58,22559.67,356.47,food (Checking -$10.0); 
20240314,346.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38297.78,16084.58,22559.67,346.47,food (Checking -$10.0); 
20240315,336.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38307.78,16084.58,22559.67,336.47,food (Checking -$10.0); 
20240316,246.47,0.0,22559.67,16084.58,0.0,0.0,0,90.0,-38397.78,16084.58,22559.67,246.47,gas (Checking -$80.0); food (Checking -$10.0); 
20240317,236.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38407.78,16084.58,22559.67,236.47,food (Checking -$10.0); 
20240318,226.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38417.78,16084.58,22559.67,226.47,food (Checking -$10.0); 
20240319,216.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38427.78,16084.58,22559.67,216.47,food (Checking -$10.0); 
20240320,206.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38437.78,16084.58,22559.67,206.47,food (Checking -$10.0); 
20240321,196.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38447.78,16084.58,22559.67,196.47,food (Checking -$10.0); 
20240322,186.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38457.78,16084.58,22559.67,186.47,food (Checking -$10.0); 
20240323,1776.47,0.0,22559.67,16084.58,0.0,0.0,1590,0.0,-36867.78,16084.58,22559.67,1776.47,income (Checking +$1600.0); food (Checking -$10.0); 
20240324,1766.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-36877.78,16084.58,22559.67,1766.47,food (Checking -$10.0); 
20240325,1756.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-36887.78,16084.58,22559.67,1756.47,food (Checking -$10.0); 
20240326,1746.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-36897.78,16084.58,22559.67,1746.47,food (Checking -$10.0); 
20240327,1736.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-36907.78,16084.58,22559.67,1736.47,food (Checking -$10.0); 
20240328,1726.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-36917.78,16084.58,22559.67,1726.47,food (Checking -$10.0); 
20240329,1716.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-36927.78,16084.58,22559.67,1716.47,food (Checking -$10.0); 
20240330,1626.47,0.0,22559.67,16084.58,0.0,0.0,0,90.0,-37017.78,16084.58,22559.67,1626.47,gas (Checking -$80.0); food (Checking -$10.0); 
20240331,1616.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-37027.78,16084.58,22559.67,1616.47,food (Checking -$10.0); 
20240401,257.47,0.0,22559.67,16084.58,0.0,0.0,0,1359.0,-38386.78,16084.58,22559.67,257.47,rent (Checking -$1200.0); car insurance (Checking -$89.0); gym (Checking -$60.0); food (Checking -$10.0); 
20240402,247.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38396.78,16084.58,22559.67,247.47,food (Checking -$10.0); 
20240403,237.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38406.78,16084.58,22559.67,237.47,food (Checking -$10.0); 
20240404,227.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38416.78,16084.58,22559.67,227.47,food (Checking -$10.0); 
20240405,217.47,0.0,22559.67,16084.58,0.0,0.0,0,10.0,-38426.78,16084.58,22559.67,217.47,food (Checking -$10.0); 
20240406,1807.47,0.0,22559.67,16084.58,0.0,0.0,1590,0.0,-36836.78,16084.58,22559.67,1807.47,income (Checking +$1600.0); food (Checking -$10.0); 
20240407,1120.68,0,22334.07,16084.58,0.0,451.19,0,461.19,-37297.97,16084.58,22334.07,1120.68,food (Checking -$10.0);  cc interest (Checking -$451.19); cc min payment (Credit: Prev Stmt Bal -$225.6);
20240408,1110.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37307.97,16084.58,22334.07,1110.68,food (Checking -$10.0); 
20240409,1100.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37317.97,16084.58,22334.07,1100.68,food (Checking -$10.0); 
20240410,1090.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37327.97,16084.58,22334.07,1090.68,food (Checking -$10.0); 
20240411,1080.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37337.97,16084.58,22334.07,1080.68,food (Checking -$10.0); 
20240412,1070.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37347.97,16084.58,22334.07,1070.68,food (Checking -$10.0); 
20240413,980.68,0.0,22334.07,16084.58,0.0,0.0,0,90.0,-37437.97,16084.58,22334.07,980.68,gas (Checking -$80.0); food (Checking -$10.0); 
20240414,970.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37447.97,16084.58,22334.07,970.68,food (Checking -$10.0); 
20240415,960.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37457.97,16084.58,22334.07,960.68,food (Checking -$10.0); 
20240416,950.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37467.97,16084.58,22334.07,950.68,food (Checking -$10.0); 
20240417,940.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37477.97,16084.58,22334.07,940.68,food (Checking -$10.0); 
20240418,930.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37487.97,16084.58,22334.07,930.68,food (Checking -$10.0); 
20240419,920.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-37497.97,16084.58,22334.07,920.68,food (Checking -$10.0); 
20240420,2510.68,0.0,22334.07,16084.58,0.0,0.0,1590,0.0,-35907.97,16084.58,22334.07,2510.68,income (Checking +$1600.0); food (Checking -$10.0); 
20240421,2500.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-35917.97,16084.58,22334.07,2500.68,food (Checking -$10.0); 
20240422,2490.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-35927.97,16084.58,22334.07,2490.68,food (Checking -$10.0); 
20240423,2480.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-35937.97,16084.58,22334.07,2480.68,food (Checking -$10.0); 
20240424,2470.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-35947.97,16084.58,22334.07,2470.68,food (Checking -$10.0); 
20240425,2460.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-35957.97,16084.58,22334.07,2460.68,food (Checking -$10.0); 
20240426,2450.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-35967.97,16084.58,22334.07,2450.68,food (Checking -$10.0); 
20240427,2360.68,0.0,22334.07,16084.58,0.0,0.0,0,90.0,-36057.97,16084.58,22334.07,2360.68,gas (Checking -$80.0); food (Checking -$10.0); 
20240428,2350.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-36067.97,16084.58,22334.07,2350.68,food (Checking -$10.0); 
20240429,2340.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-36077.97,16084.58,22334.07,2340.68,food (Checking -$10.0); 
20240430,2330.68,0.0,22334.07,16084.58,0.0,0.0,0,10.0,-36087.97,16084.58,22334.07,2330.68,food (Checking -$10.0); 
20240501,971.68,0.0,22334.07,16084.58,0.0,0.0,0,1359.0,-37446.97,16084.58,22334.07,971.68,rent (Checking -$1200.0); car insurance (Checking -$89.0); gym (Checking -$60.0); food (Checking -$10.0); 
